cast_id	cast_name
nm0004030	John Karyus
nm0004051	Brian Cox
nm0004067	Russell Yuen
nm0004082	Geoff Marslett
nm0004109	Gulshan Grover
nm0004138	Vince Corazza
nm0004147	Mikko Nousiainen
nm0004192	Kenny Hotz
nm0004198	David Acord
nm0004236	Ângelo Antônio
nm0004250	Quentin Lee
nm0004258	Pino Ammendola
nm0004259	André Kaminski
nm0004286	Clifton Collins Jr.
nm0004328	Lawrence R. Leritz
nm0004335	Hrithik Roshan
nm0004355	Roger Ashton-Griffiths
nm0004357	Michael Roberds
nm0004365	Fred Williamson
nm0004371	Robert David Hall
nm0004380	Antoine de Caunes
nm0004395	Adam Scott
nm0004429	Dharmendra
nm0004462	Jean-Louis Trintignant
nm0004469	Srinivasa Rao Kota
nm0004471	Subhalekha Sudhakar
nm0004486	Bruno Ganz
nm0004517	Jason Alexander
nm0004569	Sanjay Dutt
nm0004639	Marc Forget
nm0004645	Antonio Sabato Jr.
nm0004657	Rocco Salata
nm0004692	Mark Addy
nm0004706	Louie Anderson
nm0004711	Marc Anthony
nm0004715	Will Arnett
nm0004725	Charles Barkley
nm0004726	Lance Bass
nm0004729	Michael Beach
nm0004735	James Van Der Beek
nm0004743	Gil Bellows
nm0004745	Paulo Benedeti
nm0004755	Jason Biggs
nm0004765	Andrea Bocelli
nm0004769	Pat Boone
nm0004770	David Boreanaz
nm0004775	Todd Bridges
nm0004778	Adrien Brody
nm0004790	Scott Caan
nm0004801	Nestor Carbonell
nm0004809	Aaron Carter
nm0004820	Morris Chestnut
nm0004821	Michael Chiklis
nm0004827	Eddie Cibrian
nm0004835	Sean 'Diddy' Combs
nm0004839	Coolio
nm0004840	Alice Cooper
nm0004841	Stewart Copeland
nm0004845	Elvis Costello
nm0004854	Billy Ray Cyrus
nm0004856	Carson Daly
nm0004857	Tim Daly
nm0004872	Don Diamont
nm0004873	Andy Dick
nm0004874	Vin Diesel
nm0004875	Taye Diggs
nm0004878	Kevin Dobson
nm0004879	Snoop Dogg
nm0004880	Micky Dolenz
nm0004883	Tate Donovan
nm0004889	Jermaine Dupri
nm0004891	John Dye
nm0004895	David James Elliott
nm0004897	John Enos III
nm0004906	Peter Facinelli
nm0004909	Joey Fatone
nm0004910	David Faustino
nm0004912	Oded Fehr
nm0004913	José Feliciano
nm0004929	Dave Foley
nm0004930	Scott Foley
nm0004937	Jamie Foxx
nm0004949	Troy Garity
nm0004951	Brad Garrett
nm0004955	Galen Gering
nm0004961	Vince Gill
nm0004964	Dale Godboldo
nm0004965	Adam Goldberg
nm0004966	Bill Goldberg
nm0004971	Mark-Paul Gosselaar
nm0004977	Brian Austin Green
